DATA,ANNO,ALGORITMO,MICRO-F1,MACRO-F1
CORA,97,DEEPWALK,0.7638731596828994,0.6887213134119345
CORA,97,CTDNE,0.7559456398640997,0.6776044967230332
CORA,97,WALKHUBS2VEC,0.6845979614949037,0.582246142740391
CORA,98,DEEPWALK,0.7758846657929227,0.6966720266836544
CORA,98,CTDNE,0.7745740498034076,0.6940655870137886
CORA,98,WALKHUBS2VEC,0.7051114023591087,0.5947982541202989
