ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1991,deepwalk,micro-F1,0.7174887892376681,223,371,Logistic Regression,degree
1991,deepwalk,macro-F1,0.4447850885942205,223,371,Logistic Regression,degree
1991,deepwalk,micro-F1,0.6905829596412556,223,371,Random Forest,degree
1991,deepwalk,macro-F1,0.5221088435374149,223,371,Random Forest,degree
1991,ctdne,micro-F1,0.6681614349775785,223,371,Logistic Regression,degree
1991,ctdne,macro-F1,0.4153367606929492,223,371,Logistic Regression,degree
1991,ctdne,micro-F1,0.6322869955156951,223,371,Random Forest,degree
1991,ctdne,macro-F1,0.41696982014798334,223,371,Random Forest,degree
1991,tnodeembedding,micro-F1,0.6860986547085202,223,371,Logistic Regression,degree
1991,tnodeembedding,macro-F1,0.43835922979107406,223,371,Logistic Regression,degree
1991,tnodeembedding,micro-F1,0.672645739910314,223,371,Random Forest,degree
1991,tnodeembedding,macro-F1,0.48884508739152527,223,371,Random Forest,degree
1991,WALKHUBS2VEC,micro-F1,0.5605381165919282,223,371,Logistic Regression,degree
1991,WALKHUBS2VEC,macro-F1,0.3307019777608013,223,371,Logistic Regression,degree
1991,WALKHUBS2VEC,micro-F1,0.5560538116591929,223,371,Random Forest,degree
1991,WALKHUBS2VEC,macro-F1,0.2863444279677402,223,371,Random Forest,degree
1992,deepwalk,micro-F1,0.6723300970873787,412,594,Logistic Regression,degree
1992,deepwalk,macro-F1,0.49748292951659007,412,594,Logistic Regression,degree
1992,deepwalk,micro-F1,0.6674757281553398,412,594,Random Forest,degree
1992,deepwalk,macro-F1,0.48647913971812756,412,594,Random Forest,degree
1992,ctdne,micro-F1,0.6359223300970874,412,594,Logistic Regression,degree
1992,ctdne,macro-F1,0.4598689185504869,412,594,Logistic Regression,degree
1992,ctdne,micro-F1,0.6383495145631068,412,594,Random Forest,degree
1992,ctdne,macro-F1,0.44622895735294527,412,594,Random Forest,degree
1992,tnodeembedding,micro-F1,0.662621359223301,412,594,Logistic Regression,degree
1992,tnodeembedding,macro-F1,0.47685986927768476,412,594,Logistic Regression,degree
1992,tnodeembedding,micro-F1,0.6844660194174758,412,594,Random Forest,degree
1992,tnodeembedding,macro-F1,0.4941043255653399,412,594,Random Forest,degree
1992,WALKHUBS2VEC,micro-F1,0.5218446601941747,412,594,Logistic Regression,degree
1992,WALKHUBS2VEC,macro-F1,0.3520380866417628,412,594,Logistic Regression,degree
1992,WALKHUBS2VEC,micro-F1,0.4830097087378641,412,594,Random Forest,degree
1992,WALKHUBS2VEC,macro-F1,0.27705035176798337,412,594,Random Forest,degree
1993,deepwalk,micro-F1,0.7422062350119905,834,1006,Logistic Regression,degree
1993,deepwalk,macro-F1,0.613954691796673,834,1006,Logistic Regression,degree
1993,deepwalk,micro-F1,0.7278177458033573,834,1006,Random Forest,degree
1993,deepwalk,macro-F1,0.5908033079901368,834,1006,Random Forest,degree
1993,ctdne,micro-F1,0.7194244604316546,834,1006,Logistic Regression,degree
1993,ctdne,macro-F1,0.5500503685113532,834,1006,Logistic Regression,degree
1993,ctdne,micro-F1,0.7074340527577938,834,1006,Random Forest,degree
1993,ctdne,macro-F1,0.5237543000615087,834,1006,Random Forest,degree
1993,tnodeembedding,micro-F1,0.7050359712230215,834,1006,Logistic Regression,degree
1993,tnodeembedding,macro-F1,0.5385651697006174,834,1006,Logistic Regression,degree
1993,tnodeembedding,micro-F1,0.7014388489208633,834,1006,Random Forest,degree
1993,tnodeembedding,macro-F1,0.5423071030856355,834,1006,Random Forest,degree
1993,WALKHUBS2VEC,micro-F1,0.5611510791366906,834,1006,Logistic Regression,degree
1993,WALKHUBS2VEC,macro-F1,0.3899061780744918,834,1006,Logistic Regression,degree
1993,WALKHUBS2VEC,micro-F1,0.5563549160671463,834,1006,Random Forest,degree
1993,WALKHUBS2VEC,macro-F1,0.34632887523353334,834,1006,Random Forest,degree
1994,deepwalk,micro-F1,0.7522388059701492,1340,1840,Logistic Regression,degree
1994,deepwalk,macro-F1,0.5932325268179264,1340,1840,Logistic Regression,degree
1994,deepwalk,micro-F1,0.7522388059701492,1340,1840,Random Forest,degree
1994,deepwalk,macro-F1,0.581000239889811,1340,1840,Random Forest,degree
1994,ctdne,micro-F1,0.7470149253731343,1340,1840,Logistic Regression,degree
1994,ctdne,macro-F1,0.5625044598889273,1340,1840,Logistic Regression,degree
1994,ctdne,micro-F1,0.7365671641791045,1340,1840,Random Forest,degree
1994,ctdne,macro-F1,0.5450075128202392,1340,1840,Random Forest,degree
1994,tnodeembedding,micro-F1,0.7313432835820896,1340,1840,Logistic Regression,degree
1994,tnodeembedding,macro-F1,0.5771116540851042,1340,1840,Logistic Regression,degree
1994,tnodeembedding,micro-F1,0.744776119402985,1340,1840,Random Forest,degree
1994,tnodeembedding,macro-F1,0.5532758406839705,1340,1840,Random Forest,degree
1994,WALKHUBS2VEC,micro-F1,0.5753731343283582,1340,1840,Logistic Regression,degree
1994,WALKHUBS2VEC,macro-F1,0.38797182306377453,1340,1840,Logistic Regression,degree
1994,WALKHUBS2VEC,micro-F1,0.582089552238806,1340,1840,Random Forest,degree
1994,WALKHUBS2VEC,macro-F1,0.31873150292932445,1340,1840,Random Forest,degree
1995,deepwalk,micro-F1,0.7395638629283489,1605,3180,Logistic Regression,degree
1995,deepwalk,macro-F1,0.6495209718222099,1605,3180,Logistic Regression,degree
1995,deepwalk,micro-F1,0.7576323987538941,1605,3180,Random Forest,degree
1995,deepwalk,macro-F1,0.6524417285148779,1605,3180,Random Forest,degree
1995,ctdne,micro-F1,0.7277258566978193,1605,3180,Logistic Regression,degree
1995,ctdne,macro-F1,0.6220791805607526,1605,3180,Logistic Regression,degree
1995,ctdne,micro-F1,0.7239875389408098,1605,3180,Random Forest,degree
1995,ctdne,macro-F1,0.5800804087590208,1605,3180,Random Forest,degree
1995,tnodeembedding,micro-F1,0.7214953271028036,1605,3180,Logistic Regression,degree
1995,tnodeembedding,macro-F1,0.6304293402810182,1605,3180,Logistic Regression,degree
1995,tnodeembedding,micro-F1,0.7426791277258566,1605,3180,Random Forest,degree
1995,tnodeembedding,macro-F1,0.5950203592457985,1605,3180,Random Forest,degree
1995,WALKHUBS2VEC,micro-F1,0.5644859813084112,1605,3180,Logistic Regression,degree
1995,WALKHUBS2VEC,macro-F1,0.3562446960212033,1605,3180,Logistic Regression,degree
1995,WALKHUBS2VEC,micro-F1,0.5638629283489096,1605,3180,Random Forest,degree
1995,WALKHUBS2VEC,macro-F1,0.3059650106572689,1605,3180,Random Forest,degree
1996,deepwalk,micro-F1,0.7673782156540777,1827,4785,Logistic Regression,degree
1996,deepwalk,macro-F1,0.6805680581401791,1827,4785,Logistic Regression,degree
1996,deepwalk,micro-F1,0.7772304324028462,1827,4785,Random Forest,degree
1996,deepwalk,macro-F1,0.6726478357777322,1827,4785,Random Forest,degree
1996,ctdne,micro-F1,0.7493158182813355,1827,4785,Logistic Regression,degree
1996,ctdne,macro-F1,0.6551531083671235,1827,4785,Logistic Regression,degree
1996,ctdne,micro-F1,0.752599890530925,1827,4785,Random Forest,degree
1996,ctdne,macro-F1,0.6310005469156137,1827,4785,Random Forest,degree
1996,tnodeembedding,micro-F1,0.7586206896551724,1827,4785,Logistic Regression,degree
1996,tnodeembedding,macro-F1,0.6709930167267776,1827,4785,Logistic Regression,degree
1996,tnodeembedding,micro-F1,0.7558839627805145,1827,4785,Random Forest,degree
1996,tnodeembedding,macro-F1,0.6449325446977482,1827,4785,Random Forest,degree
1996,WALKHUBS2VEC,micro-F1,0.5473453749315819,1827,4785,Logistic Regression,degree
1996,WALKHUBS2VEC,macro-F1,0.35447769944972557,1827,4785,Logistic Regression,degree
1996,WALKHUBS2VEC,micro-F1,0.5544608648056923,1827,4785,Random Forest,degree
1996,WALKHUBS2VEC,macro-F1,0.3040533044056299,1827,4785,Random Forest,degree
1997,deepwalk,micro-F1,0.7554479418886199,1652,6612,Logistic Regression,degree
1997,deepwalk,macro-F1,0.6847404522062615,1652,6612,Logistic Regression,degree
1997,deepwalk,micro-F1,0.763317191283293,1652,6612,Random Forest,degree
1997,deepwalk,macro-F1,0.6786360250767919,1652,6612,Random Forest,degree
1997,ctdne,micro-F1,0.7403147699757869,1652,6612,Logistic Regression,degree
1997,ctdne,macro-F1,0.6554184015418565,1652,6612,Logistic Regression,degree
1997,ctdne,micro-F1,0.7554479418886199,1652,6612,Random Forest,degree
1997,ctdne,macro-F1,0.6618466403583174,1652,6612,Random Forest,degree
1997,tnodeembedding,micro-F1,0.736682808716707,1652,6612,Logistic Regression,degree
1997,tnodeembedding,macro-F1,0.6535131722257946,1652,6612,Logistic Regression,degree
1997,tnodeembedding,micro-F1,0.7548426150121065,1652,6612,Random Forest,degree
1997,tnodeembedding,macro-F1,0.6618960619071709,1652,6612,Random Forest,degree
1997,WALKHUBS2VEC,micro-F1,0.5914043583535109,1652,6612,Logistic Regression,degree
1997,WALKHUBS2VEC,macro-F1,0.4254040560819735,1652,6612,Logistic Regression,degree
1997,WALKHUBS2VEC,micro-F1,0.5338983050847458,1652,6612,Random Forest,degree
1997,WALKHUBS2VEC,macro-F1,0.3015250958996198,1652,6612,Random Forest,degree
1998,deepwalk,micro-F1,0.774281805745554,731,8264,Logistic Regression,degree
1998,deepwalk,macro-F1,0.705240678470599,731,8264,Logistic Regression,degree
1998,deepwalk,micro-F1,0.7783857729138167,731,8264,Random Forest,degree
1998,deepwalk,macro-F1,0.6942723276773757,731,8264,Random Forest,degree
1998,ctdne,micro-F1,0.7633378932968536,731,8264,Logistic Regression,degree
1998,ctdne,macro-F1,0.6831752501156589,731,8264,Logistic Regression,degree
1998,ctdne,micro-F1,0.7756497948016415,731,8264,Random Forest,degree
1998,ctdne,macro-F1,0.7007253409381742,731,8264,Random Forest,degree
1998,tnodeembedding,micro-F1,0.7578659370725034,731,8264,Logistic Regression,degree
1998,tnodeembedding,macro-F1,0.6874835851395545,731,8264,Logistic Regression,degree
1998,tnodeembedding,micro-F1,0.774281805745554,731,8264,Random Forest,degree
1998,tnodeembedding,macro-F1,0.6807755107817677,731,8264,Random Forest,degree
1998,WALKHUBS2VEC,micro-F1,0.607192254495159,723,8264,Logistic Regression,degree
1998,WALKHUBS2VEC,macro-F1,0.4513459186168339,723,8264,Logistic Regression,degree
1998,WALKHUBS2VEC,micro-F1,0.5781466113416321,723,8264,Random Forest,degree
1998,WALKHUBS2VEC,macro-F1,0.36718834006567586,723,8264,Random Forest,degree
1986,deepwalk,micro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,deepwalk,macro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,deepwalk,micro-F1,0.0,3,132,Random Forest,eigenvector
1986,deepwalk,macro-F1,0.0,3,132,Random Forest,eigenvector
1986,ctdne,micro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,ctdne,macro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,ctdne,micro-F1,0.0,3,132,Random Forest,eigenvector
1986,ctdne,macro-F1,0.0,3,132,Random Forest,eigenvector
1986,tnodeembedding,micro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,tnodeembedding,macro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,tnodeembedding,micro-F1,0.0,3,132,Random Forest,eigenvector
1986,tnodeembedding,macro-F1,0.0,3,132,Random Forest,eigenvector
1986,WALKHUBS2VEC,micro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,WALKHUBS2VEC,macro-F1,0.0,3,132,Logistic Regression,eigenvector
1986,WALKHUBS2VEC,micro-F1,0.3333333333333333,3,132,Random Forest,eigenvector
1986,WALKHUBS2VEC,macro-F1,0.16666666666666666,3,132,Random Forest,eigenvector
1987,deepwalk,micro-F1,0.5,12,135,Logistic Regression,eigenvector
1987,deepwalk,macro-F1,0.23863636363636365,12,135,Logistic Regression,eigenvector
1987,deepwalk,micro-F1,0.4166666666666667,12,135,Random Forest,eigenvector
1987,deepwalk,macro-F1,0.30000000000000004,12,135,Random Forest,eigenvector
1987,ctdne,micro-F1,0.16666666666666666,12,135,Logistic Regression,eigenvector
1987,ctdne,macro-F1,0.047619047619047616,12,135,Logistic Regression,eigenvector
1987,ctdne,micro-F1,0.16666666666666666,12,135,Random Forest,eigenvector
1987,ctdne,macro-F1,0.06666666666666667,12,135,Random Forest,eigenvector
1987,tnodeembedding,micro-F1,0.5833333333333334,12,135,Logistic Regression,eigenvector
1987,tnodeembedding,macro-F1,0.3737373737373737,12,135,Logistic Regression,eigenvector
1987,tnodeembedding,micro-F1,0.5,12,135,Random Forest,eigenvector
1987,tnodeembedding,macro-F1,0.2857142857142857,12,135,Random Forest,eigenvector
1987,WALKHUBS2VEC,micro-F1,0.4166666666666667,12,135,Logistic Regression,eigenvector
1987,WALKHUBS2VEC,macro-F1,0.16780045351473924,12,135,Logistic Regression,eigenvector
1987,WALKHUBS2VEC,micro-F1,0.5,12,135,Random Forest,eigenvector
1987,WALKHUBS2VEC,macro-F1,0.2857142857142857,12,135,Random Forest,eigenvector
1988,deepwalk,micro-F1,0.6956521739130435,23,147,Logistic Regression,eigenvector
1988,deepwalk,macro-F1,0.46771284271284275,23,147,Logistic Regression,eigenvector
1988,deepwalk,micro-F1,0.7391304347826085,23,147,Random Forest,eigenvector
1988,deepwalk,macro-F1,0.5891414141414141,23,147,Random Forest,eigenvector
1988,ctdne,micro-F1,0.17391304347826086,23,147,Logistic Regression,eigenvector
1988,ctdne,macro-F1,0.04938271604938272,23,147,Logistic Regression,eigenvector
1988,ctdne,micro-F1,0.391304347826087,23,147,Random Forest,eigenvector
1988,ctdne,macro-F1,0.29215686274509806,23,147,Random Forest,eigenvector
1988,tnodeembedding,micro-F1,0.6521739130434783,23,147,Logistic Regression,eigenvector
1988,tnodeembedding,macro-F1,0.39166666666666666,23,147,Logistic Regression,eigenvector
1988,tnodeembedding,micro-F1,0.7391304347826085,23,147,Random Forest,eigenvector
1988,tnodeembedding,macro-F1,0.5891414141414141,23,147,Random Forest,eigenvector
1988,WALKHUBS2VEC,micro-F1,0.5217391304347826,23,147,Logistic Regression,eigenvector
1988,WALKHUBS2VEC,macro-F1,0.34978354978354975,23,147,Logistic Regression,eigenvector
