ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1991,deepwalk,micro-F1,0.7040358744394619,223,371,Logistic Regression,degree
1991,deepwalk,macro-F1,0.46733379927654756,223,371,Logistic Regression,degree
1991,deepwalk,micro-F1,0.695067264573991,223,371,Random Forest,degree
1991,deepwalk,macro-F1,0.47382232412233777,223,371,Random Forest,degree
1991,ctdne,micro-F1,0.672645739910314,223,371,Logistic Regression,degree
1991,ctdne,macro-F1,0.4300976357621238,223,371,Logistic Regression,degree
1991,ctdne,micro-F1,0.6412556053811659,223,371,Random Forest,degree
1991,ctdne,macro-F1,0.44295636065113286,223,371,Random Forest,degree
1991,tnodeembedding,micro-F1,0.7309417040358744,223,371,Logistic Regression,degree
1991,tnodeembedding,macro-F1,0.47787889592081584,223,371,Logistic Regression,degree
1991,tnodeembedding,micro-F1,0.6412556053811659,223,371,Random Forest,degree
1991,tnodeembedding,macro-F1,0.4324482185097059,223,371,Random Forest,degree
1991,WALKHUBS2VEC,micro-F1,0.600896860986547,223,371,Logistic Regression,degree
1991,WALKHUBS2VEC,macro-F1,0.3634657997601224,223,371,Logistic Regression,degree
1991,WALKHUBS2VEC,micro-F1,0.5964125560538116,223,371,Random Forest,degree
1991,WALKHUBS2VEC,macro-F1,0.3506406582554399,223,371,Random Forest,degree
1992,deepwalk,micro-F1,0.6868932038834952,412,594,Logistic Regression,degree
1992,deepwalk,macro-F1,0.49869054745228314,412,594,Logistic Regression,degree
1992,deepwalk,micro-F1,0.7063106796116505,412,594,Random Forest,degree
1992,deepwalk,macro-F1,0.5238635952263536,412,594,Random Forest,degree
1992,ctdne,micro-F1,0.6650485436893204,412,594,Logistic Regression,degree
1992,ctdne,macro-F1,0.4819486307063182,412,594,Logistic Regression,degree
1992,ctdne,micro-F1,0.633495145631068,412,594,Random Forest,degree
1992,ctdne,macro-F1,0.4434551186222018,412,594,Random Forest,degree
1992,tnodeembedding,micro-F1,0.7014563106796117,412,594,Logistic Regression,degree
1992,tnodeembedding,macro-F1,0.5277644210517445,412,594,Logistic Regression,degree
1992,tnodeembedding,micro-F1,0.6723300970873787,412,594,Random Forest,degree
1992,tnodeembedding,macro-F1,0.4905938446347578,412,594,Random Forest,degree
1992,WALKHUBS2VEC,micro-F1,0.48058252427184467,412,594,Logistic Regression,degree
1992,WALKHUBS2VEC,macro-F1,0.29584351175499035,412,594,Logistic Regression,degree
1992,WALKHUBS2VEC,micro-F1,0.46116504854368934,412,594,Random Forest,degree
1992,WALKHUBS2VEC,macro-F1,0.2436096052401522,412,594,Random Forest,degree
1993,deepwalk,micro-F1,0.7326139088729017,834,1006,Logistic Regression,degree
1993,deepwalk,macro-F1,0.5892120501875141,834,1006,Logistic Regression,degree
1993,deepwalk,micro-F1,0.7266187050359713,834,1006,Random Forest,degree
1993,deepwalk,macro-F1,0.5784334824529711,834,1006,Random Forest,degree
1993,ctdne,micro-F1,0.7230215827338129,834,1006,Logistic Regression,degree
1993,ctdne,macro-F1,0.5603982891437344,834,1006,Logistic Regression,degree
1993,ctdne,micro-F1,0.7038369304556354,834,1006,Random Forest,degree
1993,ctdne,macro-F1,0.5269258603151707,834,1006,Random Forest,degree
1993,tnodeembedding,micro-F1,0.7230215827338129,834,1006,Logistic Regression,degree
